is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text,semantic_score,faiss_rank
IS 269:2013,"Ordinary Portland Cement, 33 Grade",Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,05,01,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InBkZ2E4VWJyd0pqTE5iTjI0bTlHNVE9PSIsInZhbHVlIjoiT0dSOGZwRWlpUk00Y0tXVEZ0bXJWdz09IiwibWFjIjoiNTlkMGI1MDM2YmEyYWYxYzk4ZmE4NmZhNjEwNDY5NmQ5NmVjNTRjYTM0MmE5YTYzMDFjNTRlNjFhZmVlNDQ4ZSIsInRhZyI6IiJ9&standardNumber=IS%20269:2013,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Cement,Mandatory Certification,"ordinary portland cement, 33 grade. building materials including paints. cement, concrete and allied products. cement and its testing. cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs",0.6512829,1
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,06,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImoxNmVzR3VmNm1iWkFkbFJkbk4rMmc9PSIsInZhbHVlIjoiRXFaNy9JODd5bDdsQkxLOWVVcG94UT09IiwibWFjIjoiZTAxMzEwZjI2M2M2Njg2YjhkMDQxZjRmY2FlMzk3MzI1NjBjOGFhMDY0YTM3ZTJhNjk4ZDE2YjI3YjRiNGIxZiIsInRhZyI6IiJ9&standardNumber=IS%20269:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Cement,Mandatory Certification,"ordinary portland cement - specification (sixth revision). building materials including paints. cement, concrete and allied products. cement and its testing. cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs",0.65029716,2
IS 12269:1987,Specification for 53 grade ordinary Portland cement (BI-LINGUAL),Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,08,Unknown,"Jan, 2008",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImZKR2FoZ1YxSEVkZXVWUDBCS0dYeUE9PSIsInZhbHVlIjoiNC9BODVOZFVPM3BIbmRIM2dDY1R4dz09IiwibWFjIjoiOWIzMTBkODBmZjNhZjFmMzJjMWY1Y2M1YTQ5MzA1YWE4NDk5Y2ExMjBmOWFkMzI5MDIyNWEyNmEwNzI5MmRlNCIsInRhZyI6IiJ9&standardNumber=IS%2012269:1987,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,specification for 53 grade ordinary portland cement (bi-lingual). civil engineering department(ced). ced 02 - cement and concrete,0.63739157,3
IS 12269:2013,"Ordinary Portland cement, 53 grade",2021.0,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,01,01,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjlkYXlvb3U5UkpJUVB0RUhhU3drS1E9PSIsInZhbHVlIjoidUZVV3lvKzNHbUUxOExJYlRRcCswdz09IiwibWFjIjoiOWI3MTgxNzUxZDM5MDdmM2Y3MWQ0MTk0NjJhYTI4OGRkZGQwMjMwODhmZjcyOGVmOTIzNDA4NmU5NDlmYmQ2MSIsInRhZyI6IiJ9&standardNumber=IS%2012269:2013,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Unknown,"Ordinary Portland cement, 53 grade",Unknown,"ordinary portland cement, 53 grade. building materials including paints. cement, concrete and allied products. cement and its testing. ordinary portland cement, 53 grade. civil engineering department(ced). ced 02 - cement and concrete. product specification",0.63016486,4
IS 8112:2013,"Ordinary Portland Cement, 43 Grade",2021.0,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,01,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InhQWFdOQmpIYTVUWSswNkRpbUl3aGc9PSIsInZhbHVlIjoiNXgxOTFHQXIxaUhyUUNFVFIzRmUxdz09IiwibWFjIjoiMDc5NWFhMjc4ZGM3NTJhNDE5YzkwYzBhNmE4OWJkNzAwNTU5ZDM2NjZkMWNlMmU3ZTAzODJlNTViNmJhZDYyOCIsInRhZyI6IiJ9&standardNumber=IS%208112:2013,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Unknown,"Ordinary Portland Cement, 43 Grade",Unknown,"ordinary portland cement, 43 grade. building materials including paints. cement, concrete and allied products. cement and its testing. ordinary portland cement, 43 grade. civil engineering department(ced). ced 02 - cement and concrete. product specification",0.627859,5
IS 8042:1989,White Portland Cement -,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,06,Product Specification,"Jan, 2009",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjRtbiszSHo2Mk8rM1VZVHE1MHNNcmc9PSIsInZhbHVlIjoiQzdSQ3I5SHVWbk1CbWN6N1pUbzVCdz09IiwibWFjIjoiZjFhOGYyNWU0YjVmZTQ2OTlhMjgzNjdlZTFlZTBmZmNkZDYxNGRhNjI5NjQ2YWE0NGYzMWFkY2QzNTdjZDg0NSIsInRhZyI6IiJ9&standardNumber=IS%208042:1989,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),white cement,Mandatory Certification,"white portland cement -. building materials including paints. cement, concrete and allied products. cement and its testing. white cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.6199555,6
IS 16993:2018,Microfine Ordinary Portland Cement - Specification,2023.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,01,Product Specification,"Jun, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imtxd0ZmVFNrR1h3VE9BT2RFcUJYNHc9PSIsInZhbHVlIjoiazVhdmxMZkhPbEpqTzk4ZDR2UUJNZz09IiwibWFjIjoiNWIyZTFiZjhmN2Y1NDhjNTMzMmQxYzRjZmNmYWJkMGFlZDBlZmRmMjg4OGFkOGVkYjdmNmRkZTlkM2Y2MjM0OSIsInRhZyI6IiJ9&standardNumber=IS%2016993:2018,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing","Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"microfine ordinary portland cement - specification. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.6115428,7
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im5TQW5Dc0s5QW9aV05SbGtCWklGMXc9PSIsInZhbHVlIjoiTEs3cHFOZHl0OE52YXlQWWN6WWJidz09IiwibWFjIjoiOTQzY2YzNGI3N2Y4ODQ1MzM3YmZjOGVmODI0MTRiYjYzYzZiZWY4MjZlYmI0ZjNkYjE0ZTExZDgwZGI4OTE3NyIsInRhZyI6IiJ9&standardNumber=IS%2018189:2023,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry,Limestone Calcined Clay Cement,Voluntary Certification,"portland calcined clay limestone cement - specification. building materials including paints. cement, concrete and allied products. cement and its testing. limestone calcined clay cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry",0.5878944,8
IS 8042:2015,White Portland Cement - Specification (Third Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InphK0U0UWowZGxuS0pqMTBWdWJVNmc9PSIsInZhbHVlIjoiQTBHWUdUVmkrR1g2UU42WDNkc2pxZz09IiwibWFjIjoiMTVkNTU4MGExYjVjZmE1MDU5ZjkzNGUxYTgyNjUxNjI2NDRhZGZiM2QzNTJiMzM1MWFhZWY1MTJjYjY1MzA0ZSIsInRhZyI6IiJ9&standardNumber=IS%208042:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),white cement,Mandatory Certification,"white portland cement - specification (third revision). building materials including paints. cement, concrete and allied products. cement and its testing. white cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5807022,9
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,03,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Img3NWtWcUxHenRad3hyaXZPUDIrckE9PSIsInZhbHVlIjoiVWRkbTlCZzkxWE1nSzM3UTVMblQwdz09IiwibWFjIjoiMjRiMjAzYjZjYmM2N2JiMzMwYWQyM2Q5MzI1NDU5MmU2MTk4NjA0NmExNzdkMjgxM2ZmOTZjNmZjNmUxNjEyZiIsInRhZyI6IiJ9&standardNumber=IS%208043:1991,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Hydrophobic Portland cement,Unknown,"hydrophobic portland cement - specification (second revision). building materials including paints. cement, concrete and allied products. cement and its testing. hydrophobic portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.5800079,10
